episode,reward,success,epsilon
583,5.200000000000001,1.0,0.05
584,-16.299999999999997,0.0,0.05
585,-20.799999999999997,0.0,0.05
586,-19.0,0.0,0.05
587,8.799999999999999,1.0,0.05
588,-21.7,0.0,0.05
589,-16.3,0.0,0.05
590,-21.7,0.0,0.05
591,-16.299999999999997,0.0,0.05
592,-18.099999999999998,0.0,0.05
593,-18.099999999999998,0.0,0.05
594,-20.799999999999997,0.0,0.05
595,-16.3,0.0,0.05
596,-22.6,0.0,0.05
597,-22.6,0.0,0.05
598,-19.0,0.0,0.05
599,-18.1,0.0,0.05
600,6.7,1.0,0.05
601,-21.7,0.0,0.05
602,-19.9,0.0,0.05
603,6.699999999999999,1.0,0.05
604,-17.2,0.0,0.05
605,-17.200000000000003,0.0,0.05
606,5.200000000000001,1.0,0.05
607,-17.2,0.0,0.05
608,-19.9,0.0,0.05
609,-19.0,0.0,0.05
610,-21.7,0.0,0.05
611,-22.6,0.0,0.05
612,-19.9,0.0,0.05
613,12.1,1.0,0.05
614,-17.199999999999996,0.0,0.05
615,-19.9,0.0,0.05
616,-20.799999999999997,0.0,0.05
617,-17.200000000000003,0.0,0.05
618,5.8000000000000025,1.0,0.05
619,-20.799999999999997,0.0,0.05
620,-22.6,0.0,0.05
621,-19.9,0.0,0.05
622,-22.6,0.0,0.05
623,7.6,1.0,0.05
624,-19.0,0.0,0.05
625,-15.4,0.0,0.05
626,4.900000000000002,1.0,0.05
627,-20.799999999999997,0.0,0.05
628,-18.099999999999998,0.0,0.05
629,-19.9,0.0,0.05
630,-19.0,0.0,0.05
631,7.6,1.0,0.05
632,4.000000000000002,1.0,0.05
633,-21.7,0.0,0.05
634,-19.9,0.0,0.05
635,-19.0,0.0,0.05
636,-21.7,0.0,0.05
637,-18.1,0.0,0.05
638,-19.0,0.0,0.05
639,-19.0,0.0,0.05
640,-15.4,0.0,0.05
641,-20.799999999999997,0.0,0.05
642,-20.799999999999997,0.0,0.05
643,-19.9,0.0,0.05
644,-21.7,0.0,0.05
645,-19.9,0.0,0.05
646,-17.2,0.0,0.05
647,-15.399999999999999,0.0,0.05
648,9.7,1.0,0.05
649,-20.799999999999997,0.0,0.05
650,-21.7,0.0,0.05
651,-16.3,0.0,0.05
652,-18.1,0.0,0.05
653,10.0,1.0,0.05
654,-18.099999999999998,0.0,0.05
655,-20.799999999999997,0.0,0.05
656,-17.2,0.0,0.05
657,-20.799999999999997,0.0,0.05
658,-21.7,0.0,0.05
659,-18.1,0.0,0.05
660,-16.3,0.0,0.05
661,-19.9,0.0,0.05
662,-15.4,0.0,0.05
663,7.6,1.0,0.05
664,-20.799999999999997,0.0,0.05
665,-20.799999999999997,0.0,0.05
666,-21.7,0.0,0.05
667,-21.7,0.0,0.05
668,-21.7,0.0,0.05
669,-20.799999999999997,0.0,0.05
670,-19.0,0.0,0.05
671,8.8,1.0,0.05
672,7.900000000000001,1.0,0.05
673,-20.799999999999997,0.0,0.05
674,-19.0,0.0,0.05
675,-19.0,0.0,0.05
676,8.8,1.0,0.05
677,-17.2,0.0,0.05
678,-19.0,0.0,0.05
679,-20.799999999999997,0.0,0.05
680,-17.2,0.0,0.05
681,-19.9,0.0,0.05
682,-20.799999999999997,0.0,0.05
683,-20.799999999999997,0.0,0.05
684,-22.6,0.0,0.05
685,-21.7,0.0,0.05
686,-19.0,0.0,0.05
687,-16.299999999999997,0.0,0.05
688,-14.5,0.0,0.05
689,-22.6,0.0,0.05
690,-20.799999999999997,0.0,0.05
691,-14.5,0.0,0.05
692,-17.2,0.0,0.05
693,-21.7,0.0,0.05
694,-13.6,0.0,0.05
695,-22.6,0.0,0.05
696,-19.9,0.0,0.05
697,-20.799999999999997,0.0,0.05
698,-20.799999999999997,0.0,0.05
699,-11.8,0.0,0.05
700,-19.0,0.0,0.05
701,-22.6,0.0,0.05
702,-13.6,0.0,0.05
703,-21.7,0.0,0.05
704,-14.5,0.0,0.05
705,-22.6,0.0,0.05
706,-21.7,0.0,0.05
707,-16.299999999999997,0.0,0.05
708,-18.1,0.0,0.05
709,-19.0,0.0,0.05
710,-22.6,0.0,0.05
711,-19.9,0.0,0.05
712,-16.299999999999997,0.0,0.05
713,11.5,1.0,0.05
714,-18.1,0.0,0.05
715,-19.0,0.0,0.05
716,-16.3,0.0,0.05
717,-21.7,0.0,0.05
718,-19.0,0.0,0.05
719,-19.9,0.0,0.05
720,-19.9,0.0,0.05
721,-16.3,0.0,0.05
722,-13.6,0.0,0.05
723,-17.2,0.0,0.05
724,-20.799999999999997,0.0,0.05
725,-17.2,0.0,0.05
726,2.200000000000001,1.0,0.05
727,-15.399999999999999,0.0,0.05
728,-21.7,0.0,0.05
729,-22.6,0.0,0.05
730,-22.6,0.0,0.05
731,-19.9,0.0,0.05
732,-17.2,0.0,0.05
733,-19.0,0.0,0.05
734,-20.799999999999997,0.0,0.05
735,-16.3,0.0,0.05
736,-17.2,0.0,0.05
737,-18.099999999999998,0.0,0.05
738,16.3,1.0,0.05
739,-18.099999999999998,0.0,0.05
740,4.300000000000001,1.0,0.05
741,-17.2,0.0,0.05
742,-21.7,0.0,0.05
743,-14.5,0.0,0.05
744,-22.6,0.0,0.05
745,-22.6,0.0,0.05
746,-20.799999999999997,0.0,0.05
747,14.8,1.0,0.05
748,-19.0,0.0,0.05
749,-19.9,0.0,0.05
750,-21.7,0.0,0.05
751,-18.1,0.0,0.05
752,-20.799999999999997,0.0,0.05
753,-21.7,0.0,0.05
754,-16.299999999999997,0.0,0.05
755,-19.0,0.0,0.05
756,-18.099999999999998,0.0,0.05
757,-22.6,0.0,0.05
758,-19.0,0.0,0.05
759,-18.1,0.0,0.05
760,-21.7,0.0,0.05
761,-18.099999999999998,0.0,0.05
762,-16.3,0.0,0.05
763,-15.4,0.0,0.05
764,-17.2,0.0,0.05
765,4.9,1.0,0.05
766,-19.9,0.0,0.05
767,-21.7,0.0,0.05
768,-19.0,0.0,0.05
769,-21.7,0.0,0.05
770,-21.7,0.0,0.05
771,-22.6,0.0,0.05
772,-21.7,0.0,0.05
773,-20.799999999999997,0.0,0.05
774,-22.6,0.0,0.05
775,-17.199999999999996,0.0,0.05
776,-21.7,0.0,0.05
777,-19.0,0.0,0.05
778,-21.7,0.0,0.05
779,-19.9,0.0,0.05
780,-21.7,0.0,0.05
781,-19.9,0.0,0.05
782,-22.6,0.0,0.05
783,-19.9,0.0,0.05
784,-20.799999999999997,0.0,0.05
785,-21.7,0.0,0.05
786,-17.199999999999996,0.0,0.05
787,-19.0,0.0,0.05
788,7.600000000000001,1.0,0.05
789,-18.1,0.0,0.05
790,-13.6,0.0,0.05
791,-19.9,0.0,0.05
792,-22.6,0.0,0.05
793,-21.7,0.0,0.05
794,-19.9,0.0,0.05
795,-19.9,0.0,0.05
796,-21.7,0.0,0.05
797,-15.4,0.0,0.05
798,-17.2,0.0,0.05
799,-19.0,0.0,0.05
800,7.600000000000003,1.0,0.05
801,-15.4,0.0,0.05
802,-19.9,0.0,0.05
803,-22.6,0.0,0.05
804,10.0,1.0,0.05
805,4.900000000000002,1.0,0.05
806,-19.9,0.0,0.05
807,-19.0,0.0,0.05
808,7.9,1.0,0.05
809,-21.7,0.0,0.05
810,-19.9,0.0,0.05
811,-17.199999999999996,0.0,0.05
